id,area_kmsq,landsat:scene_id,platform,datetime,eo:cloud_cover,annotated_sites
LC08_L1GT_020030_20130321_20200913_02_T2,33422.75757,LC80200302013080LGN02,LANDSAT_8,2013-03-21T16:18:36.122768Z,98.69,
LC08_L2SP_020030_20130321_20200913_02_T2_SR,33422.75757,LC80200302013080LGN02,LANDSAT_8,2013-03-21T16:18:36.122768Z,98.69,
LC08_L1GT_020031_20130321_20200913_02_T2,33409.97302,LC80200312013080LGN02,LANDSAT_8,2013-03-21T16:18:59.907905Z,97.39,
LC08_L2SP_020031_20130321_20200913_02_T2_SR,33409.97302,LC80200312013080LGN02,LANDSAT_8,2013-03-21T16:18:59.907905Z,97.39,
LC08_L1TP_164042_20130322_20200913_02_T1,33322.66582,LC81640422013081LGN02,LANDSAT_8,2013-03-22T07:10:30.631426Z,0.33,
LC08_L2SP_164042_20130322_20200913_02_T1_SR,33322.66582,LC81640422013081LGN02,LANDSAT_8,2013-03-22T07:10:30.631426Z,0.33,
LC08_L1TP_042032_20130322_20200913_02_T1,33325.53079,LC80420322013081LGN02,LANDSAT_8,2013-03-22T18:36:33.185765Z,10.48,
LC08_L2SP_042032_20130322_20200913_02_T1_SR,33325.53079,LC80420322013081LGN02,LANDSAT_8,2013-03-22T18:36:33.185765Z,10.48,
LC08_L1TP_042033_20130322_20200913_02_T1,33310.48519,LC80420332013081LGN02,LANDSAT_8,2013-03-22T18:36:56.975138Z,1.59,"US_R004_0057, US_R005_0016, US_R005_0017, US_R005_0029, US_R005_0039"
LC08_L2SP_042033_20130322_20200913_02_T1_SR,33310.48519,LC80420332013081LGN02,LANDSAT_8,2013-03-22T18:36:56.975138Z,1.59,
LC08_L1GT_017039_20130323_20200912_02_T2,33340.68664,LC80170392013082LGN02,LANDSAT_8,2013-03-23T16:00:45.872826Z,7.39,
LC08_L2SP_017039_20130323_20200912_02_T2_SR,33340.68664,LC80170392013082LGN02,LANDSAT_8,2013-03-23T16:00:45.872826Z,7.39,
LC08_L1TP_160042_20130324_20200913_02_T1,33312.42604,LC81600422013083LGN02,LANDSAT_8,2013-03-24T06:49:06.268496Z,92.56,
LC08_L2SP_160042_20130324_20200913_02_T1_SR,33312.42604,LC81600422013083LGN02,LANDSAT_8,2013-03-24T06:49:06.268496Z,92.56,
LC08_L1TP_160043_20130324_20200912_02_T1,33312.23,LC81600432013083LGN02,LANDSAT_8,2013-03-24T06:49:30.062106Z,94.2,
LC08_L2SP_160043_20130324_20200912_02_T1_SR,33312.23025,LC81600432013083LGN02,LANDSAT_8,2013-03-24T06:49:30.062106Z,94.2,
LC08_L1TP_115034_20130327_20200913_02_T1,33354.29622,LC81150342013086LGN02,LANDSAT_8,2013-03-27T02:07:23.355803Z,1.83,"KR_R001_0011, KR_R002_0015, KR_R002_0028"
LC08_L2SP_115034_20130327_20200913_02_T1_SR,33354.29622,LC81150342013086LGN02,LANDSAT_8,2013-03-27T02:07:23.355803Z,1.83,
LC08_L1TP_163042_20130327_20200912_02_T1,33316.94027,LC81630422013086LGN02,LANDSAT_8,2013-03-27T07:06:16.692664Z,0.26,
LC08_L2SP_163042_20130327_20200912_02_T1_SR,33316.94027,LC81630422013086LGN02,LANDSAT_8,2013-03-27T07:06:16.692664Z,0.26,
LC08_L1TP_016039_20130328_20200913_02_T1,33326.27865,LC80160392013087LGN02,LANDSAT_8,2013-03-28T15:56:31.738788Z,0.02,"US_R003_0009, US_R003_0016, US_R003_0019, US_R003_0032, US_R003_0034, US_R003_0041, US_R003_0056, US_R003_0058, US_R003_0065, US_R003_0092, US_R003_0096, US_R003_0098, US_R003_0105, US_R003_0109"
LC08_L2SP_016039_20130328_20200913_02_T1_SR,33326.27865,LC80160392013087LGN02,LANDSAT_8,2013-03-28T15:56:31.738788Z,0.02,
LC08_L1TP_029031_20130330_20200912_02_T1,33375.36445,LC80290312013089LGN02,LANDSAT_8,2013-03-30T17:10:31.146755Z,25.21,
