id,area_kmsq,platform,datetime,eo:cloud_cover,annotated_sites
20160724_112723_1_0c59_3B_AnalyticMS,130.9475947,PlanetScope-0c59,2016-07-24T11:27:23Z,0,
20160724_112723_0c59_3B_AnalyticMS,130.862044,PlanetScope-0c59,2016-07-24T11:27:23Z,0,
20160724_112724_0c59_3B_AnalyticMS,130.6551639,PlanetScope-0c59,2016-07-24T11:27:24Z,0,
20160724_112730_0c59_3B_AnalyticMS,131.4639247,PlanetScope-0c59,2016-07-24T11:27:30Z,0,
20160724_112731_0c59_3B_AnalyticMS,131.4461047,PlanetScope-0c59,2016-07-24T11:27:31Z,0,
20160724_112732_0c59_3B_AnalyticMS,131.5154616,PlanetScope-0c59,2016-07-24T11:27:32Z,0,
20160724_112733_1_0c59_3B_AnalyticMS,131.6479381,PlanetScope-0c59,2016-07-24T11:27:33Z,0,
20160724_112734_0c59_3B_AnalyticMS,131.5246393,PlanetScope-0c59,2016-07-24T11:27:34Z,0,
20160917_132533_0d05_3B_AnalyticMS,129.7963002,PlanetScope-0d05,2016-09-17T13:25:33Z,6,
20160928_182010_0c43_3B_AnalyticMS,130.2366799,PlanetScope-0c43,2016-09-28T18:20:10Z,0,
20160928_182011_0c43_3B_AnalyticMS,132.2860679,PlanetScope-0c43,2016-09-28T18:20:11Z,0,
20160928_182012_0c43_3B_AnalyticMS,132.2754622,PlanetScope-0c43,2016-09-28T18:20:12Z,0,
20160928_202749_0c19_3B_AnalyticMS,123.432963,PlanetScope-0c19,2016-09-28T20:27:49Z,0,
20160928_202750_1_0c19_3B_AnalyticMS,124.026381,PlanetScope-0c19,2016-09-28T20:27:50Z,0,
20160928_202750_0c19_3B_AnalyticMS,123.2269384,PlanetScope-0c19,2016-09-28T20:27:50Z,0,
20160928_202751_0c19_3B_AnalyticMS,125.6590997,PlanetScope-0c19,2016-09-28T20:27:51Z,0,
20160928_202752_0c19_3B_AnalyticMS,126.8092931,PlanetScope-0c19,2016-09-28T20:27:52Z,0,
20160928_202753_0c19_3B_AnalyticMS,127.3284823,PlanetScope-0c19,2016-09-28T20:27:53Z,0,
20161009_121749_0e16_3B_AnalyticMS,216.5578355,PlanetScope-0e16,2016-10-09T12:17:49Z,0,
20161009_122655_0e1f_3B_AnalyticMS,225.0123901,PlanetScope-0e1f,2016-10-09T12:26:55Z,0,
20161009_122656_0e1f_3B_AnalyticMS,224.8418417,PlanetScope-0e1f,2016-10-09T12:26:56Z,0,
20161009_122658_0e1f_3B_AnalyticMS,224.9507829,PlanetScope-0e1f,2016-10-09T12:26:58Z,0,
20161031_194001_0d06_3B_AnalyticMS,125.2652226,PlanetScope-0d06,2016-10-31T19:40:01Z,0,
20161031_194002_1_0d06_3B_AnalyticMS,125.2052999,PlanetScope-0d06,2016-10-31T19:40:02Z,0,
20161031_194002_0d06_3B_AnalyticMS,125.1900416,PlanetScope-0d06,2016-10-31T19:40:02Z,0,
20161031_194007_1_0d06_3B_AnalyticMS,125.6836423,PlanetScope-0d06,2016-10-31T19:40:07Z,0,
20161031_194008_0d06_3B_AnalyticMS,125.7040722,PlanetScope-0d06,2016-10-31T19:40:08Z,0,
20161031_194009_0d06_3B_AnalyticMS,125.7853778,PlanetScope-0d06,2016-10-31T19:40:09Z,0,
20161031_194023_1_0c22_3B_AnalyticMS,129.1734937,PlanetScope-0c22,2016-10-31T19:40:23Z,0,
20161031_194023_0c22_3B_AnalyticMS,129.0829806,PlanetScope-0c22,2016-10-31T19:40:23Z,0,
20161031_194024_0c22_3B_AnalyticMS,129.1694826,PlanetScope-0c22,2016-10-31T19:40:24Z,0,
20161031_194030_0c22_3B_AnalyticMS,129.5321004,PlanetScope-0c22,2016-10-31T19:40:30Z,0,
