id,area_kmsq,s2:product_uri,s2:granule_id,platform,constellation,datetime,eo:cloud_cover,annotated_sites
S2A_35HLC_20160101_0_L1C,11381.80152,,,sentinel-2a,sentinel-2,2016-01-01T08:30:37Z,75,
S2A_35ULA_20160101_0_L1C,11827.28749,,,sentinel-2a,sentinel-2,2016-01-01T09:46:40Z,98,
S2A_34UFF_20160101_0_L1C,12057.84885,,,sentinel-2a,sentinel-2,2016-01-01T09:46:40Z,90,
S2A_34UFG_20160101_0_L1C,12057.85022,,,sentinel-2a,sentinel-2,2016-01-01T09:46:40Z,97,
S2A_35ULB_20160101_0_L1C,12058.72029,,,sentinel-2a,sentinel-2,2016-01-01T09:46:40Z,96,
S2A_19KCB_20160101_0_L1C,3616.457858,,,sentinel-2a,sentinel-2,2016-01-01T15:09:22Z,29,
S2A_19KCA_20160101_0_L1C,1385.14272,,,sentinel-2a,sentinel-2,2016-01-01T15:09:22Z,3,
S2A_19KBB_20160101_0_L1C,12047.03525,,,sentinel-2a,sentinel-2,2016-01-01T15:09:22Z,66,
S2A_19KBA_20160101_0_L1C,11877.17634,,,sentinel-2a,sentinel-2,2016-01-01T15:09:22Z,67,
S2A_32TMT_20160103_0_L1C,9974.337779,,,sentinel-2a,sentinel-2,2016-01-03T10:33:20Z,47,
S2A_52SDG_20160106_0_L1C,8038.085534,,,sentinel-2a,sentinel-2,2016-01-06T02:17:17Z,36,
S2A_52SEG_20160106_0_L1C,9306.98142,,,sentinel-2a,sentinel-2,2016-01-06T02:17:17Z,14,
S2A_52SEF_20160106_0_L1C,2160.573997,,,sentinel-2a,sentinel-2,2016-01-06T02:17:17Z,0,KR_Rxxx_0033
S2A_39RVK_20160106_0_L1C,12064.34445,,,sentinel-2a,sentinel-2,2016-01-06T07:26:32Z,0,"BH_R001_0016, BH_R001_0017, BH_R001_0021, BH_R001_0026, BH_R001_0031, BH_R001_0036"
S2A_32TMT_20160106_0_L1C,12064.34851,,,sentinel-2a,sentinel-2,2016-01-06T10:39:56Z,86,
S2A_32TLS_20160106_0_L1C,12058.70749,,,sentinel-2a,sentinel-2,2016-01-06T10:39:56Z,81,
S2A_32TLT_20160106_0_L1C,12058.70883,,,sentinel-2a,sentinel-2,2016-01-06T10:39:56Z,89,
S2A_35HLC_20160108_0_L1C,8576.284599,,,sentinel-2a,sentinel-2,2016-01-08T08:20:23Z,6,"ZA_R001_0000, ZA_R001_0016, ZA_R001_0026"
S2A_34UFG_20160108_0_L1C,3097.522904,,,sentinel-2a,sentinel-2,2016-01-08T09:38:26Z,4,LT_R001_0047
S2A_34UFF_20160108_0_L1C,5648.231029,,,sentinel-2a,sentinel-2,2016-01-08T09:38:26Z,43,
S2A_35ULB_20160108_0_L1C,11477.794,,,sentinel-2a,sentinel-2,2016-01-08T09:38:26Z,15,
S2A_35ULA_20160108_0_L1C,12058.71908,,,sentinel-2a,sentinel-2,2016-01-08T09:38:26Z,92,
S2A_23KLP_20160108_0_L1C,12058.6764,,,sentinel-2a,sentinel-2,2016-01-08T13:27:01Z,7,
S2A_23KLQ_20160108_0_L1C,12058.6754,,,sentinel-2a,sentinel-2,2016-01-08T13:27:01Z,14,"BR_R005_0006, BR_R005_0017, BR_R005_0036, BR_R005_0058, BR_R005_0080, BR_R005_0089, BR_R005_0090, BR_R005_0091, BR_R005_0098, BR_R005_0103, BR_R005_0104, BR_R005_0107, BR_R005_0126, BR_R005_0129, BR_R006_0040, BR_R006_0046, BR_R006_0058, BR_Rxxx_1014"
S2A_22KHV_20160108_0_L1C,3079.061516,,,sentinel-2a,sentinel-2,2016-01-08T13:27:01Z,12,
S2A_23KKP_20160108_0_L1C,7250.187863,,,sentinel-2a,sentinel-2,2016-01-08T13:27:01Z,2,
S2A_22KHU_20160108_0_L1C,6018.800602,,,sentinel-2a,sentinel-2,2016-01-08T13:27:01Z,3,
S2A_23KKQ_20160108_0_L1C,4790.356551,,,sentinel-2a,sentinel-2,2016-01-08T13:27:01Z,15,BR_R006_0059
S2A_19KBA_20160108_0_L1C,3506.292054,,,sentinel-2a,sentinel-2,2016-01-08T15:06:22Z,18,
S2A_19KCA_20160108_0_L1C,12058.67001,,,sentinel-2a,sentinel-2,2016-01-08T15:06:22Z,38,
S2A_19KCB_20160108_0_L1C,11686.60746,,,sentinel-2a,sentinel-2,2016-01-08T15:06:22Z,42,
S2A_19KBB_20160108_0_L1C,1042.544874,,,sentinel-2a,sentinel-2,2016-01-08T15:06:22Z,0,"PE_R001_0011, PE_R001_0012, PE_R001_0014, PE_R001_0015, PE_R001_0021, PE_R001_0022, PE_R001_0032"
S2A_52SDG_20160109_0_L1C,11121.01482,,,sentinel-2a,sentinel-2,2016-01-09T02:33:30Z,19,
S2A_52SEG_20160109_0_L1C,520.1720801,,,sentinel-2a,sentinel-2,2016-01-09T02:33:30Z,0,
