id,area_kmsq,nitf:primary_image_identifier,nitf:auxiliary_image_identifier,nitf:source,mission,datetime,eo:cloud_cover,annotated_sites
08JAN01163328-P1BS-011876002010_01_P001,283.5128126,P107878F00,01JAN08QB021200008JAN01163328-P1BS-011876002010_01_P001,DigitalGlobe Acquired Image,QB02,2008-01-01T16:33:28Z,1,
08JAN01163328-M1BS-011876002010_01_P001,282.3618156,M107878F00,01JAN08QB021200008JAN01163328-M1BS-011876002010_01_P001,DigitalGlobe Acquired Image,QB02,2008-01-01T16:33:28Z,1,
08JAN25160634-P1BS-011875979010_01_P001,266.9188594,P101627E00,25JAN08WV011100008JAN25160634-P1BS-011875979010_01_P001,DigitalGlobe Acquired Image,WV01,2008-01-25T16:06:34Z,3,
08FEB04095142-P1BS-011778465010_01_P001,116.932207,P107A59D00,04FEB08QB020700008FEB04095142-P1BS-011778465010_01_P001,DigitalGlobe Acquired Image,QB02,2008-02-04T09:51:42Z,0,
08FEB04095142-M1BS-011778465010_01_P001,116.9320464,M107A59D00,04FEB08QB020700008FEB04095142-M1BS-011778465010_01_P001,DigitalGlobe Acquired Image,QB02,2008-02-04T09:51:42Z,0,
08FEB10101259-P1BS-005692988010_03_P005,6.220765332,P1015D2800,10FEB08WV010700008FEB10101259-P1BS-005692988010_03_P005         AAE 0AMAAYAPABB9,DigitalGlobe Acquired Image,WV01,2008-02-10T10:12:59Z,0,
08FEB10101301-P1BS-005692988010_03_P006,7.781631861,P1015D2800,10FEB08WV010700008FEB10101301-P1BS-005692988010_03_P006         AAE 0AMAAAAPAAE9,DigitalGlobe Acquired Image,WV01,2008-02-10T10:13:01Z,0,
08MAR21161427-P1BS-011875944010_01_P001,291.091714,P102A03400,21MAR08WV011200008MAR21161427-P1BS-011875944010_01_P001,DigitalGlobe Acquired Image,WV01,2008-03-21T16:14:27Z,1,
08MAR29095148-P1BS-011778457010_01_P001,126.9943005,P107D9FD00,29MAR08QB020700008MAR29095148-P1BS-011778457010_01_P001,DigitalGlobe Acquired Image,QB02,2008-03-29T09:51:48Z,0,LT_R001_0104
08MAR29095148-M1BS-011778457010_01_P001,126.5885505,M107D9FD00,29MAR08QB020700008MAR29095148-M1BS-011778457010_01_P001,DigitalGlobe Acquired Image,QB02,2008-03-29T09:51:48Z,0,
