,Site Preparation,Active Construction,Post Construction
worst mean days (all detections),107.0,-5.0,-350.0
worst std days (all),12.0,55.0,415.0
worst mean days (absolute value of all detections),107.0,55.0,415.0
worst std days (abs val of all),12.0,5.0,350.0
mean days (all detections),9.0,-30.0,-382.5
std days (all),34.0,30.0,382.5
mean days (absolute value of all detections),34.0,30.0,382.5
std days (abs val of all),9.0,30.0,382.5
best mean days (all detections),21.5,-26.5,-302.5
best std days (all),21.5,26.5,302.5
best mean days (absolute value of all detections),21.5,26.5,302.5
best std days (abs val of all),21.5,26.5,302.5
mean days (early detections),-25.0,-60.0,-765.0
std days (early),0.0,0.0,0.0
mean days (late detections),43.0,,
std days (late),0.0,,
all detections,2.0,2.0,2.0
early,1.0,1.0,1.0
late,1.0,0.0,0.0
perfect,0.0,1.0,1.0
missing proposals,0.0,0.0,0.0
missing truth sites,0.0,0.0,0.0
