id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation
BR_R002_0000_te_2.0.1,positive_annotated,0.1575340762785386,0.13233015872465195,1.0,2016-04-24,2016-04-24,2016-08-01,2016-10-16,2016-10-16,2021-01-18,2021-01-18,2021-01-18
BR_R002_0001_te_2.0.0,positive_annotated,0.11300110284415324,0.10876896429813795,1.0,2017-10-11,2017-10-11,2017-12-20,2018-04-19,2018-04-19,2019-10-06,2019-10-06,2019-10-06
BR_R002_0004_te_2.0.2,positive_pending,0.013197225183782553,0.013197225183782553,1.0,2007-07-01,2007-07-01,,,2007-07-01,2010-08-31,2010-08-31,2010-08-31
BR_R002_0005_te_2.0.4,ignore,0.021306491854340363,0.021306491854340363,1.0,2019-06-01,2019-06-01,,,2019-06-01,2021-08-31,2021-08-31,2021-08-31
BR_R002_0006_te_2.0.2,ignore,0.057923200937816444,0.05792320093781646,1.0,2015-04-01,2015-04-01,,,2015-04-01,2021-08-31,2021-08-31,2021-08-31
BR_R002_0007_te_2.0.1,negative,0.027258247888765783,0.027258247888765783,1.0,2013-07-01,2014-01-01,,,2014-01-01,2017-04-30,2017-04-30,2017-04-30
BR_R002_0008_te_2.1.0,positive_annotated,0.012892924428639886,0.009888761074855602,1.0,2014-02-01,2014-02-01,2014-04-06,2014-05-08,2014-05-08,2015-02-13,2016-08-02,2016-08-02
BR_R002_0009_te_2.0.2,ignore,0.09466520291689297,0.09466520291689295,1.0,2012-12-01,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2021-08-31
BR_R002_0010_te_2.0.2,ignore,0.05857142883708945,0.058571428837089455,1.0,2016-11-01,2016-11-01,,,2016-11-01,2021-08-31,2021-08-31,2021-08-31
BR_R002_0012_te_2.0.1,ignore,0.05457820470487188,0.05457820470487189,1.0,2019-02-01,2019-02-01,,,2019-02-01,2020-04-30,2020-04-30,2020-04-30
BR_R002_0013_te_2.0.2,positive_pending,0.01291155472713122,0.01291155472713122,1.0,2010-08-01,2010-08-01,,,2010-08-01,2013-11-30,2013-11-30,2013-11-30
BR_R002_0014_te_2.0.1,positive_excluded,0.006633407672523354,0.006633407672523354,1.0,2012-12-01,2014-01-01,,,2014-01-01,2016-04-30,2016-04-30,2016-04-30
