Min Confidence,tp sites,tp exact,tp under,tp under (IoU),tp under (IoT),tp over,fp sites,fp area,ffpa,proposal area,fpa,fn sites,truth annotations,truth sites,proposed annotations,confident annotations,proposed sites,total sites,truth slices,proposed slices,precision,recall (PD),F1,spatial FAR,temporal FAR,images FAR
0.0,2,2,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,1,12,3,6,6,4,5,106,248,0.5,0.6667,0.5714,0.0442,0.0007,0.0081
0.1,2,2,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,1,12,3,6,6,4,5,106,248,0.5,0.6667,0.5714,0.0442,0.0007,0.0081
0.2,2,2,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,1,12,3,6,6,4,5,106,248,0.5,0.6667,0.5714,0.0442,0.0007,0.0081
0.3,2,2,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,1,12,3,6,6,4,5,106,248,0.5,0.6667,0.5714,0.0442,0.0007,0.0081
0.4,2,2,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,1,12,3,6,6,4,5,106,248,0.5,0.6667,0.5714,0.0442,0.0007,0.0081
0.5,2,2,0,0,0,0,1,0.0769,0.0017,0.3735,0.0083,1,12,3,6,4,3,4,106,182,0.6667,0.6667,0.6667,0.0221,0.0004,0.0055
0.6,0,0,0,0,0,0,0,0.0088,0.0002,0.0607,0.0013,3,12,3,6,1,0,3,106,32,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,12,3,6,0,0,3,106,0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,12,3,6,0,0,3,106,0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,12,3,6,0,0,3,106,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,12,3,6,0,0,3,106,0,0.0,0.0,0.0,0.0,0.0,0.0
