site type,truth site,site area,matched site models,"detection score (tau = 0.2, rho = 0.5, min area = 0)",spatial overlap,temporal iot,temporal iop,site count,association status,associated,color code
ignore,BR_R002_0000_te_2.0.1,0.1575340762785386,BR_R002_7004_test_2.0.0,,0.5,0.7712305025996534,1.0,1,0,True,11
ignore,BR_R002_0001_te_2.0.0,0.11300110284415324,BR_R002_7005_test_2.0.0,,1.0,0.7451790633608816,1.0,1,0,True,11
positive_unbounded,BR_R002_0004_te_2.0.2,0.013197225183782553,,,,,,0,0,False,9
ignore,BR_R002_0005_te_2.0.4,0.021306491854340363,,,,,,0,0,False,12
ignore,BR_R002_0006_te_2.0.2,0.057923200937816444,,,,,,0,0,False,12
negative,BR_R002_0007_te_2.0.1,0.027258247888765783,,,,,,0,tn,False,6
ignore,BR_R002_0008_te_2.1.0,0.012892924428639886,,,,,,0,0,False,12
ignore,BR_R002_0009_te_2.0.2,0.09466520291689297,,,,,,0,0,False,12
ignore,BR_R002_0010_te_2.0.2,0.05857142883708945,,,,,,0,0,False,12
ignore,BR_R002_0012_te_2.0.1,0.05457820470487188,BR_R002_7001_test_2.0.0,,1.0,1.0,0.586340206185567,1,0,True,11
positive_unbounded,BR_R002_0013_te_2.0.2,0.01291155472713122,,,,,,0,0,False,9
ignore,BR_R002_0014_te_2.0.1,0.006633407672523354,,,,,,0,0,False,12
