Min Confidence,tp sites,tp exact,tp under,tp under (IoU),tp under (IoT),tp over,fp sites,fp area,ffpa,proposal area,fpa,fn sites,truth annotations,truth sites,proposed annotations,confident annotations,proposed sites,total sites,truth slices,proposed slices,precision,recall (PD),F1,spatial FAR,temporal FAR,images FAR
0.0,0,0,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,0,12,0,6,6,2,2,106,248,0,0,0,0.0442,0.0007,0.0081
0.1,0,0,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,0,12,0,6,6,2,2,106,248,0,0,0,0.0442,0.0007,0.0081
0.2,0,0,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,0,12,0,6,6,2,2,106,248,0,0,0,0.0442,0.0007,0.0081
0.3,0,0,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,0,12,0,6,6,2,2,106,248,0,0,0,0.0442,0.0007,0.0081
0.4,0,0,0,0,0,0,2,0.0896,0.002,0.3968,0.0088,0,12,0,6,6,2,2,106,248,0,0,0,0.0442,0.0007,0.0081
0.5,0,0,0,0,0,0,1,0.0769,0.0017,0.3735,0.0083,0,12,0,6,4,1,1,106,182,0,0,0,0.0221,0.0004,0.0055
0.6,0,0,0,0,0,0,0,0.0088,0.0002,0.0607,0.0013,0,12,0,6,1,0,0,106,32,0,0,0,0.0,0.0,0.0
0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,0,6,0,0,0,106,0,0,0,0,0.0,0.0,0.0
0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,0,6,0,0,0,106,0,0,0,0,0.0,0.0,0.0
0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,0,6,0,0,0,106,0,0,0,0,0.0,0.0,0.0
1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,0,6,0,0,0,106,0,0,0,0,0.0,0.0,0.0
