id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation,model type
BR_R002_0000,positive,0,,1,,2021-01-09,,,2021-01-09,2021-01-09,2021-01-09,,point
BR_R002_0001,positive,0,,1,,2019-10-08,,,2019-10-08,2019-10-08,2019-10-08,,point
BR_R002_0004,positive_unbounded,0,,1,,2009-09-30,,,2009-09-30,2009-09-30,2009-09-30,,point
BR_R002_0005,ignore,0,,1,,2021-05-25,,,2021-05-25,2021-05-25,2021-05-25,,point
BR_R002_0006,negative,0,,1,,2021-04-21,,,2021-04-21,2021-04-21,2021-04-21,,point
BR_R002_0007,negative,0,,1,,2017-08-30,,,2017-08-30,2017-08-30,2017-08-30,,point
BR_R002_0008,positive,0,,1,,2015-02-15,,,2015-02-15,2015-02-15,2015-02-15,,point
BR_R002_0009,negative,0,,1,,2021-04-29,,,2021-04-29,2021-04-29,2021-04-29,,point
BR_R002_0010,negative,0,,1,,2020-12-13,,,2020-12-13,2020-12-13,2020-12-13,,point
BR_R002_0012,ignore,0,,1,,2020-04-09,,,2020-04-09,2020-04-09,2020-04-09,,point
BR_R002_0013,positive,0,,1,,2014-02-23,,,2014-02-23,2014-02-23,2014-02-23,,point
BR_R002_0014,positive_excluded,0,,1,,2015-11-30,,,2015-11-30,2015-11-30,2015-11-30,,point
