site type,truth site,site area,matched site models,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,site count,association status,associated,color code,model type
positive,BR_R002_0000,0,BR_R002_7004_test_2.0.0,,,,0.0,114.74207297343322,412.5353886163287,169.0,836.0,1503.0,1,tp,True,2,point
positive,BR_R002_0001,0,BR_R002_7005_test_2.0.0,,,,0.0,65.5270797917259,317.85642358670043,22.0,292.0,562.0,1,tp,True,2,point
positive_unbounded,BR_R002_0004,0,,,,,,,,,,,0,0,False,9,point
ignore,BR_R002_0005,0,BR_R002_7000_test_2.0.0,,,,0.0,82.1413543912595,174.5592248941485,117.0,253.0,389.0,1,0,True,11,point
negative,BR_R002_0006,0,,,,,,,,,,,0,tn,False,6,point
negative,BR_R002_0007,0,,,,,,,,,,,0,tn,False,6,point
positive,BR_R002_0008,0,,,,,,,,,,,0,fn,False,3,point
negative,BR_R002_0009,0,,,,,,,,,,,0,tn,False,6,point
negative,BR_R002_0010,0,,,,,,,,,,,0,tn,False,6,point
ignore,BR_R002_0012,0,BR_R002_7001_test_2.0.0,,,,0.0,67.76504575552585,246.12651832597055,0.0,333.0,721.0,1,0,True,11,point
positive,BR_R002_0013,0,,,,,,,,,,,0,fn,False,3,point
positive_excluded,BR_R002_0014,0,,,,,,,,,,,0,tn,False,6,point
