precision,recall (PD),f_0.33,f_0.5,f_1,f_2,f_3,tau,rho,min proposal area,min proposal confidence score,temporal iop,temporal iot,transient temporal iop,transient temporal iot,min spatial distance threshold,central spatial distance threshold,max spatial distance threshold,min temporal distance threshold,central temporal distance threshold,max temporal distance threshold,region
1.0,0.5,0.9091,0.8333,0.6667,0.5556,0.5263,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1000,730,,,BR_R002
1.0,0.5,0.9091,0.8333,0.6667,0.5556,0.5263,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1500,730,,,BR_R002
1.0,0.5,0.9091,0.8333,0.6667,0.5556,0.5263,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,1000,1000,730,,,BR_R002
1.0,0.5,0.9091,0.8333,0.6667,0.5556,0.5263,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1000,1095,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1000,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1000,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1500,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1000,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1500,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,1000,1000,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1000,1095,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1000,365,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1000,1095,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1000,365,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1500,730,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1500,365,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1000,365,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1500,1095,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1000,1095,,,BR_R002
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1000,365,,,BR_R002
