tp sites,tp exact,tp under,tp under (IoU),tp under (IoT),tp over,fp sites,fp area,ffpa,proposal area,fpa,fn sites,truth annotations,truth sites,proposed annotations,confident proposals,proposed sites,total sites,truth slices,proposed slices,precision,recall (PD),F1,tau,rho,temporal iop,temporal iot,transient temporal iop,transient temporal iot,min proposal area,min proposal confidence score,min spatial distance threshold,central spatial distance threshold,max spatial distance threshold,min temporal distance threshold,central temporal distance threshold,max temporal distance threshold,region,spatial FAR,temporal FAR,images FAR
2,2,0,0,0,0,0,0,0.0,0.3968,0.0088,2,0,4,6,6,2,4,0,248,1.0,0.5,0.6667,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1000,730,,,BR_R002,0.0,0.0,0.0
2,2,0,0,0,0,0,0,0.0,0.3968,0.0088,2,0,4,6,6,2,4,0,248,1.0,0.5,0.6667,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1500,730,,,BR_R002,0.0,0.0,0.0
2,2,0,0,0,0,0,0,0.0,0.3968,0.0088,2,0,4,6,6,2,4,0,248,1.0,0.5,0.6667,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,1000,1000,730,,,BR_R002,0.0,0.0,0.0
2,2,0,0,0,0,0,0,0.0,0.3968,0.0088,2,0,4,6,6,2,4,0,248,1.0,0.5,0.6667,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1000,1095,,,BR_R002,0.0,0.0,0.0
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1000,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1000,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1500,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1000,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1500,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,1000,1000,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1000,1095,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1000,365,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1000,1095,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1000,365,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1500,730,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1500,365,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1000,365,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1500,1095,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1000,1095,,,BR_R002,0.0442,0.0007,0.0081
2,2,0,0,0,0,2,0,0.0,0.3968,0.0088,2,0,4,6,6,4,6,0,248,0.5,0.5,0.5,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1000,365,,,BR_R002,0.0442,0.0007,0.0081
