id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation,model type
BR_R002_0000_te_2.0.1,positive_annotated,0.1575340763,0.1323301587,1.0,2016-04-24,2016-04-24,2016-08-01,2016-10-16,2016-10-16,2021-01-18,2021-01-18,2021-01-18,stack
BR_R002_0001_te_2.0.0,positive_annotated,0.1130011028,0.1087689643,1.0,2017-10-11,2017-10-11,2017-12-20,2018-04-19,2018-04-19,2019-10-06,2019-10-06,2019-10-06,stack
BR_R002_0004_te_2.0.2,positive_pending,0.0131972252,0.0131972252,1.0,2007-07-01,2007-07-01,,,2007-07-01,2010-08-31,2010-08-31,2010-08-31,stack
BR_R002_0005_te_2.0.4,ignore,0.0213064919,0.0213064919,1.0,2019-06-01,2019-06-01,,,2019-06-01,2021-08-31,2021-08-31,2021-08-31,stack
BR_R002_0006_te_2.0.2,ignore,0.0579232009,0.0579232009,1.0,2015-04-01,2015-04-01,,,2015-04-01,2021-08-31,2021-08-31,2021-08-31,stack
BR_R002_0007_te_2.0.1,negative,0.0272582479,0.0272582479,1.0,2013-07-01,2014-01-01,,,2014-01-01,2017-04-30,2017-04-30,2017-04-30,stack
BR_R002_0008_te_2.1.0,positive_annotated,0.0128929244,0.0098887611,1.0,2014-02-01,2014-02-01,2014-04-06,2014-05-08,2014-05-08,2015-02-13,2016-08-02,2016-08-02,stack
BR_R002_0009_te_2.0.2,ignore,0.0946652029,0.0946652029,1.0,2012-12-01,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2021-08-31,stack
BR_R002_0010_te_2.0.2,ignore,0.0585714288,0.0585714288,1.0,2016-11-01,2016-11-01,,,2016-11-01,2021-08-31,2021-08-31,2021-08-31,stack
BR_R002_0012_te_2.0.1,ignore,0.0545782047,0.0545782047,1.0,2019-02-01,2019-02-01,,,2019-02-01,2020-04-30,2020-04-30,2020-04-30,stack
BR_R002_0013_te_2.0.2,positive_pending,0.0129115547,0.0129115547,1.0,2010-08-01,2010-08-01,,,2010-08-01,2013-11-30,2013-11-30,2013-11-30,stack
BR_R002_0014_te_2.0.1,positive_excluded,0.0066334077,0.0066334077,1.0,2012-12-01,2014-01-01,,,2014-01-01,2016-04-30,2016-04-30,2016-04-30,stack
