,Site Preparation,Active Construction,Post Construction
worst mean days (all detections),95.0,-60.0,65.0
worst std days (all),0.0,0.0,0.0
worst mean days (absolute value of all detections),95.0,60.0,65.0
worst std days (abs val of all),0.0,0.0,0.0
mean days (all detections),-25.0,-60.0,0.0
std days (all),0.0,0.0,0.0
mean days (absolute value of all detections),25.0,60.0,0.0
std days (abs val of all),0.0,0.0,0.0
best mean days (all detections),0.0,-53.0,0.0
best std days (all),0.0,0.0,0.0
best mean days (absolute value of all detections),0.0,53.0,0.0
best std days (abs val of all),0.0,0.0,0.0
mean days (early detections),-25.0,-60.0,
std days (early),0.0,0.0,
mean days (late detections),,,
std days (late),,,
all detections,1.0,1.0,1.0
early,1.0,1.0,0.0
late,0.0,0.0,0.0
perfect,0.0,0.0,1.0
missing proposals,0.0,0.0,0.0
missing truth sites,0.0,0.0,0.0
