site type,truth site,site area,matched site models,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,site count,association status,associated,color code,model type
ignore,BR_R002_0000_te_2.0.1,0.1575340763,BR_R002_7004_test_2.0.0,0.5,0.7712305025996534,1.0,,,,,,,1,0,True,11,stack
ignore,BR_R002_0001_te_2.0.0,0.1130011028,BR_R002_7005_test_2.0.0,1.0,0.7451790633608816,1.0,,,,,,,1,0,True,11,stack
positive_unbounded,BR_R002_0004_te_2.0.2,0.0131972252,,,,,,,,,,,0,0,False,9,stack
ignore,BR_R002_0005_te_2.0.4,0.0213064919,BR_R002_7000_test_2.0.0,0.5,0.33171324422843257,1.0,,,,,,,1,0,True,11,stack
ignore,BR_R002_0006_te_2.0.2,0.0579232009,,,,,,,,,,,0,0,False,12,stack
negative,BR_R002_0007_te_2.0.1,0.0272582479,,,,,,,,,,,0,tn,False,6,stack
ignore,BR_R002_0008_te_2.1.0,0.0128929244,,,,,,,,,,,0,0,False,12,stack
ignore,BR_R002_0009_te_2.0.2,0.0946652029,,,,,,,,,,,0,0,False,12,stack
ignore,BR_R002_0010_te_2.0.2,0.0585714288,,,,,,,,,,,0,0,False,12,stack
ignore,BR_R002_0012_te_2.0.1,0.0545782047,BR_R002_7001_test_2.0.0,1.0,1.0,0.586340206185567,,,,,,,1,0,True,11,stack
positive_unbounded,BR_R002_0013_te_2.0.2,0.0129115547,,,,,,,,,,,0,0,False,9,stack
ignore,BR_R002_0014_te_2.0.1,0.0066334077,,,,,,,,,,,0,0,False,12,stack
