site model,site area,matched truth sites,site count,association status,associated,color code
KR_R002_7000_test_2.0.0,0.10487245234145777,KR_R002_0010_te_2.1.0,1,0,True,26
KR_R002_7001_test_2.0.0,0.012306452193828277,KR_R002_0006_te_2.1.0,1,0,True,26
KR_R002_7002_test_2.0.0,0.03013202828661334,KR_R002_0031_te_2.1.0,1,0,True,26
KR_R002_7003_test_2.0.0,0.023990460934739288,KR_R002_0032_te_2.1.1,1,0,True,26
KR_R002_7004_test_2.0.0,0.14181661763929598,"KR_R002_0008_te_2.1.0, KR_R002_0007_te_2.1.0",2,0,True,26
KR_R002_7005_test_2.0.0,0.03095952703047964,KR_R002_0012_te_2.1.0,1,0,True,26
KR_R002_7006_test_2.0.0,0.033135865415347306,KR_R002_0024_te_2.1.0,1,0,True,26
KR_R002_7007_test_2.0.0,0.028778317674407437,KR_R002_0025_te_2.1.0,1,0,True,26
KR_R002_7008_test_2.0.0,0.034326755075101766,KR_R002_0023_te_2.1.0,1,0,True,26
KR_R002_7009_test_2.0.0,0.01859761975439487,KR_R002_0034_te_2.1.0,1,0,True,26
KR_R002_7010_test_2.0.0,0.010426365307665005,,0,fp,False,22
KR_R002_7011_test_2.0.0,0.018791695184671903,KR_R002_0030_te_2.0.1,1,fp,True,25
KR_R002_7012_test_2.0.0,0.16250445264573357,KR_R002_0001_te_2.0.0,1,0,True,26
KR_R002_7013_test_2.0.0,0.00927822493208942,KR_R002_0002_te_2.0.0,1,0,True,26
KR_R002_7014_test_2.0.0,0.01692760297387699,KR_R002_0003_te_2.0.0,1,0,True,26
KR_R002_7015_test_2.0.0,0.007527746972896665,KR_R002_0120_te_2.0.1,1,fp,True,25
KR_R002_7016_test_2.0.0,0.0063141649893951905,KR_R002_0027_te_2.1.0,1,0,True,26
KR_R002_7017_test_2.0.0,0.033687583543539366,KR_R002_0016_te_2.1.1,1,0,True,26
KR_R002_7018_test_2.0.0,0.007938961097102163,KR_R002_0005_te_2.0.1,1,0,True,26
KR_R002_7019_test_2.0.0,0.03602057741037786,KR_R002_0000_te_2.0.0,1,0,True,26
KR_R002_7020_test_2.0.0,0.1252767174742436,KR_R002_0000_te_2.0.0,1,0,True,26
KR_R002_7021_test_2.0.0,0.03315120526188797,KR_R002_0019_te_2.1.1,1,0,True,26
KR_R002_7022_test_2.0.0,0.029255307096356167,KR_R002_0018_te_2.1.1,1,0,True,26
KR_R002_7023_test_2.0.0,0.016766593519206476,KR_R002_0017_te_2.1.1,1,0,True,26
KR_R002_7024_test_2.0.0,0.021409699353282352,KR_R002_0001_te_2.0.0,1,0,True,26
