Min Confidence,tp sites,tp exact,tp under,tp under (IoU),tp under (IoT),tp over,fp sites,fp area,ffpa,proposal area,fpa,fn sites,truth annotations,truth sites,proposed annotations,confident annotations,proposed sites,total sites,truth slices,proposed slices,precision,recall (PD),F1,spatial FAR,temporal FAR,images FAR
0.0,0,0,0,0,0,0,3,0.1339,0.0026,0.9938,0.0191,1,118,1,25,25,3,4,2533,795,0,0,0,0.0575,0.0011,0.0038
0.1,0,0,0,0,0,0,3,0.1339,0.0026,0.9938,0.0191,1,118,1,25,25,3,4,2533,795,0,0,0,0.0575,0.0011,0.0038
0.2,0,0,0,0,0,0,3,0.1339,0.0026,0.9938,0.0191,1,118,1,25,25,3,4,2533,795,0,0,0,0.0575,0.0011,0.0038
0.3,0,0,0,0,0,0,3,0.1339,0.0026,0.9938,0.0191,1,118,1,25,25,3,4,2533,795,0,0,0,0.0575,0.0011,0.0038
0.4,0,0,0,0,0,0,3,0.1339,0.0026,0.9938,0.0191,1,118,1,25,25,3,4,2533,795,0,0,0,0.0575,0.0011,0.0038
0.5,0,0,0,0,0,0,1,0.1047,0.002,0.9646,0.0185,1,118,1,25,23,1,2,2533,731,0,0,0,0.0192,0.0004,0.0014
0.6,0,0,0,0,0,0,0,0.0941,0.0018,0.8934,0.0171,1,118,1,25,18,0,1,2533,576,0,0,0,0.0,0.0,0.0
0.7,0,0,0,0,0,0,0,0.0014,0.0,0.0331,0.0006,1,118,1,25,1,0,1,2533,31,0,0,0,0.0,0.0,0.0
0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,118,1,25,0,0,1,2533,0,0,0,0,0.0,0.0,0.0
0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,118,1,25,0,0,1,2533,0,0,0,0,0.0,0.0,0.0
1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,118,1,25,0,0,1,2533,0,0,0,0,0.0,0.0,0.0
