site type,truth site,site area,matched site models,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,site count,association status,associated,color code,model type
positive,KR_R002_0000,0,KR_R002_7020_test_2.0.0,,,,0.0,143.54452279642527,721.1531804140952,0.0,338.0,931.0,1,tp,True,2,point
positive,KR_R002_0001,0,KR_R002_7012_test_2.0.0,,,,0.0,104.87226427015575,525.1770767208997,0.0,602.0,1330.0,1,tp,True,2,point
positive,KR_R002_0002,0,KR_R002_7013_test_2.0.0,,,,0.0,24.240362370850942,122.66204806175185,255.0,932.0,1610.0,1,tp,True,2,point
positive,KR_R002_0003,0,KR_R002_7014_test_2.0.0,,,,0.0,30.3914673306648,154.45773414683262,169.0,1120.0,2071.0,1,tp,True,2,point
positive,KR_R002_0004,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0005,0,KR_R002_7018_test_2.0.0,,,,0.0,45.47671059084368,175.29203079364737,561.0,927.0,1293.0,1,tp,True,2,point
positive,KR_R002_0006,0,KR_R002_7001_test_2.0.0,,,,0.0,48.208663132688265,162.02678519377298,0.0,469.0,1082.0,1,tp,True,2,point
positive,KR_R002_0007,0,KR_R002_7004_test_2.0.0,,,,0.0,96.4731966609766,557.9098447279655,0.0,403.0,904.0,1,tp,True,2,point
positive,KR_R002_0008,0,KR_R002_7004_test_2.0.0,,,,0.0,331.9583087085464,846.9168585233866,0.0,312.0,813.0,1,tp,True,2,point
positive,KR_R002_0009,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0010,0,KR_R002_7000_test_2.0.0,,,,0.0,247.43082562942297,714.8090413550227,363.0,866.0,1369.0,1,tp,True,2,point
negative,KR_R002_0011,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0012,0,KR_R002_7005_test_2.0.0,,,,0.0,22.015396863932516,225.37118058262362,0.0,357.0,858.0,1,tp,True,2,point
positive,KR_R002_0013,0,KR_R002_7004_test_2.0.0,,,,91.41971771049997,337.2233241446781,763.1563989153851,0.0,-133.0,-633.0,1,fn,False,3,point
ignore,KR_R002_0014,0,,,,,,,,,,,0,0,False,12,point
positive,KR_R002_0015,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0016,0,KR_R002_7017_test_2.0.0,,,,0.0,104.65941540903896,455.00389911974486,0.0,677.0,1368.0,1,tp,True,2,point
positive,KR_R002_0017,0,KR_R002_7023_test_2.0.0,,,,0.0,16.2948147225109,143.60574304946013,659.0,995.0,1331.0,1,tp,True,2,point
positive,KR_R002_0018,0,KR_R002_7022_test_2.0.0,,,,0.0,43.14503074492491,262.5498351087155,233.0,788.0,1344.0,1,tp,True,2,point
positive,KR_R002_0019,0,"KR_R002_7021_test_2.0.0, KR_R002_7022_test_2.0.0",,,,0.0,51.64672370492821,215.79527883186157,302.0,819.0,1336.0,2,tp,True,2,point
positive,KR_R002_0020,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0021,0,,,,,,,,,,,0,fn,False,3,point
negative,KR_R002_0022,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0023,0,KR_R002_7008_test_2.0.0,,,,0.0,92.41014974680343,315.69496506481426,0.0,163.0,649.0,1,tp,True,2,point
positive,KR_R002_0024,0,KR_R002_7006_test_2.0.0,,,,0.0,47.747442907380616,193.28016429654286,211.0,711.0,1212.0,1,tp,True,2,point
positive,KR_R002_0025,0,KR_R002_7007_test_2.0.0,,,,0.0,23.328202750149927,274.2041305482233,695.0,1024.0,1353.0,1,tp,True,2,point
positive,KR_R002_0027,0,KR_R002_7016_test_2.0.0,,,,0.0,22.39617467266684,131.8511376486835,90.0,781.0,1472.0,1,tp,True,2,point
positive,KR_R002_0028,0,KR_R002_7004_test_2.0.0,,,,39.036940098806234,391.3326015877023,854.2663390938583,0.0,30.0,531.0,1,fn,False,3,point
