precision,recall (PD),f_0.33,f_0.5,f_1,f_2,f_3,tau,rho,min proposal area,min proposal confidence score,temporal iop,temporal iot,transient temporal iop,transient temporal iot,min spatial distance threshold,central spatial distance threshold,max spatial distance threshold,min temporal distance threshold,central temporal distance threshold,max temporal distance threshold,region
0.92,0.575,0.8679,0.8214,0.7077,0.6216,0.5974,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1000,1095,,,KR_R002
0.9167,0.55,0.8594,0.8088,0.6875,0.5978,0.5729,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,1000,1000,730,,,KR_R002
0.9167,0.55,0.8594,0.8088,0.6875,0.5978,0.5729,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1000,730,,,KR_R002
0.9167,0.55,0.8594,0.8088,0.6875,0.5978,0.5729,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1500,730,,,KR_R002
0.8148,0.55,0.7774,0.7432,0.6567,0.5882,0.5685,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1000,1095,,,KR_R002
0.8148,0.55,0.7774,0.7432,0.6567,0.5882,0.5685,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1000,1095,,,KR_R002
0.8148,0.55,0.7774,0.7432,0.6567,0.5882,0.5685,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1000,1095,,,KR_R002
0.8148,0.55,0.7774,0.7432,0.6567,0.5882,0.5685,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1500,1095,,,KR_R002
0.9091,0.5,0.8403,0.7812,0.6452,0.5495,0.5236,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,500,500,1000,365,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1000,730,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1500,730,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1000,730,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1500,730,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1000,730,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,1000,1000,730,,,KR_R002
0.8077,0.525,0.7664,0.7292,0.6364,0.5645,0.544,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1500,730,,,KR_R002
0.6923,0.45,0.6569,0.625,0.5455,0.4839,0.4663,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,1000,1000,365,,,KR_R002
0.6923,0.45,0.6569,0.625,0.5455,0.4839,0.4663,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1000,365,,,KR_R002
0.6923,0.45,0.6569,0.625,0.5455,0.4839,0.4663,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0,500,1000,365,,,KR_R002
0.6923,0.45,0.6569,0.625,0.5455,0.4839,0.4663,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,500,1500,365,,,KR_R002
