site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
positive,KR_R002_0000,KR_R002_7018_test_2.0.0,,,,275.24282771069556,345.3031283984303,441.07439273442213,0,-159,-525,2016-08-22,2016-08-22,2016-01-28,2018-01-29,point
positive,KR_R002_0000,KR_R002_7019_test_2.0.0,,,,255.00339624711853,499.2461229757344,786.9376164390078,0,338,931,2016-08-22,2016-08-22,2014-02-03,2017-05-03,point
positive,KR_R002_0001,KR_R002_7013_test_2.0.0,,,,428.595092369724,463.579539343635,498.92129322477524,0,652,1330,2017-09-25,2017-09-25,2014-02-03,2017-10-20,point
positive,KR_R002_0001,KR_R002_7024_test_2.0.0,,,,267.198655412998,340.13148382873953,461.7992098772226,0,632,1330,2017-09-25,2017-09-25,2014-02-03,2017-11-30,point
positive,KR_R002_0002,KR_R002_7012_test_2.0.0,,,,402.6204124807905,525.8142059854327,734.9393554675041,154,882,1610,2018-07-02,2018-07-02,2014-02-03,2018-01-29,point
positive,KR_R002_0004,KR_R002_7021_test_2.0.0,,,,477.9779268381246,548.1620078670188,632.3940250466654,0,-480,-997,2017-01-06,2017-01-06,2016-11-30,2019-09-30,point
positive,KR_R002_0004,KR_R002_7022_test_2.0.0,,,,411.34317411710435,499.33747375516094,656.8067821640657,0,-519,-1074,2017-01-06,2017-01-06,2016-11-30,2019-12-16,point
positive,KR_R002_0004,KR_R002_7023_test_2.0.0,,,,161.73218976321849,231.613525665312,330.309456294285,0,8,344,2017-01-06,2017-01-06,2016-01-28,2017-11-30,point
positive,KR_R002_0005,KR_R002_7019_test_2.0.0,,,,282.1289939224332,385.71054835121726,588.8915426077241,832,1424,2017,2019-08-13,2019-08-13,2014-02-03,2017-05-03,point
positive,KR_R002_0005,KR_R002_7020_test_2.0.0,,,,141.02942341037505,486.26998742039797,1041.6136421692668,832,1424,2017,2019-08-13,2019-08-13,2014-02-03,2017-05-03,point
positive,KR_R002_0006,KR_R002_7000_test_2.0.0,,,,56.267925291281074,326.7284202799017,867.8769205752214,813,1316,1819,2020-01-16,2020-01-16,2015-01-23,2017-10-25,point
positive,KR_R002_0006,KR_R002_7002_test_2.0.0,,,,422.78660944260855,593.4717840083072,731.5136258255478,78,630,1183,2020-01-16,2020-01-16,2016-10-20,2019-10-30,point
positive,KR_R002_0006,KR_R002_7003_test_2.0.0,,,,294.7137106527719,357.44798976078397,446.40606006825084,692,1255,1819,2020-01-16,2020-01-16,2015-01-23,2018-02-23,point
positive,KR_R002_0006,KR_R002_7004_test_2.0.0,,,,368.8286881214611,884.0782173073969,1338.596482934813,818,1318,1819,2020-01-16,2020-01-16,2015-01-23,2017-10-20,point
positive,KR_R002_0007,KR_R002_7003_test_2.0.0,,,,466.36478543110076,634.4899203115056,821.5402144901134,0,340,904,2017-07-15,2017-07-15,2015-01-23,2018-02-23,point
positive,KR_R002_0010,KR_R002_7001_test_2.0.0,,,,399.9436313451241,513.5583026453586,644.2180518897818,0,19,632,2018-10-23,2018-10-23,2017-01-29,2020-06-08,point
positive,KR_R002_0010,KR_R002_7002_test_2.0.0,,,,247.59084110869333,314.73424280600614,421.76817260611887,0,180,733,2018-10-23,2018-10-23,2016-10-20,2019-10-30,point
positive,KR_R002_0012,KR_R002_7010_test_2.0.0,,,,298.01977282997535,400.8639463080315,509.69686883196505,0,-130,-1450,2017-05-30,2017-05-30,2014-02-25,2021-05-19,point
positive,KR_R002_0013,KR_R002_7000_test_2.0.0,,,,426.243494317105,894.1764931516749,1444.183045014568,0,-135,-638,2016-01-26,2016-01-26,2015-01-23,2017-10-25,point
positive,KR_R002_0013,KR_R002_7003_test_2.0.0,,,,402.12991716821284,546.2696401967656,707.2704197293243,0,-196,-759,2016-01-26,2016-01-26,2015-01-23,2018-02-23,point
positive,KR_R002_0013,KR_R002_7004_test_2.0.0,,,,91.41971771049997,337.2233241446781,763.1563989153851,0,-133,-633,2016-01-26,2016-01-26,2015-01-23,2017-10-20,point
ignore,KR_R002_0014,KR_R002_7014_test_2.0.0,,,,309.54977338532126,384.554607892404,478.7287417447551,838,1789,2740,2021-08-05,2021-08-05,2014-02-03,2019-04-20,point
positive,KR_R002_0017,KR_R002_7021_test_2.0.0,,,,303.6376133036351,405.4725647970825,549.4540179378685,0,507,1024,2019-09-20,2019-09-20,2016-11-30,2019-09-30,point
positive,KR_R002_0017,KR_R002_7022_test_2.0.0,,,,285.2893441065329,454.4698929779192,676.4728738901596,0,468,1024,2019-09-20,2019-09-20,2016-11-30,2019-12-16,point
