tp sites,tp exact,tp under,tp under (IoU),tp under (IoT),tp over,fp sites,fp area,ffpa,proposal area,fpa,fn sites,truth annotations,truth sites,proposed annotations,confident proposals,proposed sites,total sites,truth slices,proposed slices,precision,recall (PD),F1,tau,rho,temporal iop,temporal iot,transient temporal iop,transient temporal iot,min proposal area,min proposal confidence score,min spatial distance threshold,central spatial distance threshold,max spatial distance threshold,min temporal distance threshold,central temporal distance threshold,max temporal distance threshold,region,spatial FAR,temporal FAR,images FAR
23,19,4,4,0,0,2,0,0.0,0.9938,0.0191,17,0,40,25,25,25,42,0,839,0.92,0.575,0.7077,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1000,1095,,,KR_R002,0.0383,0.0007,0.0024
22,20,2,2,0,0,2,0,0.0,0.9938,0.0191,18,0,40,25,25,24,42,0,808,0.9167,0.55,0.6875,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,1000,1000,730,,,KR_R002,0.0383,0.0007,0.0025
22,20,2,2,0,0,2,0,0.0,0.9938,0.0191,18,0,40,25,25,24,42,0,808,0.9167,0.55,0.6875,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1000,730,,,KR_R002,0.0383,0.0007,0.0025
22,20,2,2,0,0,2,0,0.0,0.9938,0.0191,18,0,40,25,25,24,42,0,808,0.9167,0.55,0.6875,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1500,730,,,KR_R002,0.0383,0.0007,0.0025
22,18,4,4,0,0,5,0,0.0,0.9938,0.0191,18,0,40,25,25,27,45,0,839,0.8148,0.55,0.6567,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1000,1095,,,KR_R002,0.0958,0.0018,0.006
22,18,4,4,0,0,5,0,0.0,0.9938,0.0191,18,0,40,25,25,27,45,0,839,0.8148,0.55,0.6567,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1000,1095,,,KR_R002,0.0958,0.0018,0.006
22,18,4,4,0,0,5,0,0.0,0.9938,0.0191,18,0,40,25,25,27,45,0,839,0.8148,0.55,0.6567,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1000,1095,,,KR_R002,0.0958,0.0018,0.006
22,18,4,4,0,0,5,0,0.0,0.9938,0.0191,18,0,40,25,25,27,45,0,839,0.8148,0.55,0.6567,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1500,1095,,,KR_R002,0.0958,0.0018,0.006
20,18,2,2,0,0,2,0,0.0,0.9938,0.0191,20,0,40,25,25,22,42,0,808,0.9091,0.5,0.6452,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,500,500,1000,365,,,KR_R002,0.0383,0.0007,0.0025
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1000,730,,,KR_R002,0.0958,0.0018,0.0062
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1500,730,,,KR_R002,0.0958,0.0018,0.0062
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1000,730,,,KR_R002,0.0958,0.0018,0.0062
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1500,730,,,KR_R002,0.0958,0.0018,0.0062
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1000,730,,,KR_R002,0.0958,0.0018,0.0062
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,1000,1000,730,,,KR_R002,0.0958,0.0018,0.0062
21,19,2,2,0,0,5,0,0.0,0.9938,0.0191,19,0,40,25,25,26,45,0,808,0.8077,0.525,0.6364,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1500,730,,,KR_R002,0.0958,0.0018,0.0062
18,16,2,2,0,0,8,0,0.0,0.9938,0.0191,22,0,40,25,25,26,48,0,808,0.6923,0.45,0.5455,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,1000,1000,365,,,KR_R002,0.1534,0.0029,0.0099
18,16,2,2,0,0,8,0,0.0,0.9938,0.0191,22,0,40,25,25,26,48,0,808,0.6923,0.45,0.5455,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1000,365,,,KR_R002,0.1534,0.0029,0.0099
18,16,2,2,0,0,8,0,0.0,0.9938,0.0191,22,0,40,25,25,26,48,0,808,0.6923,0.45,0.5455,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,0,500,1000,365,,,KR_R002,0.1534,0.0029,0.0099
18,16,2,2,0,0,8,0,0.0,0.9938,0.0191,22,0,40,25,25,26,48,0,808,0.6923,0.45,0.5455,0.2,0.5,0.1,0.2,0.1,0.2,0.0,0.0,100,500,1500,365,,,KR_R002,0.1534,0.0029,0.0099
