id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation,model type
KR_R002_0000_te_2.0.0,positive_annotated,0.4093614378,0.3883023208,1.0,2014-02-03,2014-02-03,2014-02-03,2015-01-23,2015-01-23,2017-01-03,2017-01-23,2017-01-23,stack
KR_R002_0001_te_2.0.0,positive_annotated,0.2712769686,0.2130858247,1.0,2014-02-03,2014-02-03,2014-02-03,2015-01-23,2015-01-23,2017-12-06,2018-01-05,2018-01-05,stack
KR_R002_0002_te_2.0.0,positive_annotated,0.0151525542,0.0106710961,1.0,2015-06-09,2015-06-09,2015-06-09,2015-10-17,2015-10-17,2017-09-20,2017-09-20,2017-09-20,stack
KR_R002_0003_te_2.0.0,positive_annotated,0.026726155,0.0208742542,1.0,2016-08-13,2016-08-13,2016-08-13,2016-11-24,2016-11-24,2019-11-01,2019-11-01,2019-11-01,stack
KR_R002_0004_te_2.0.0,positive_annotated,0.013413484,0.0088921929,1.0,2015-01-23,2015-01-23,2015-01-23,2015-10-21,2015-10-21,2016-11-01,2016-11-01,2016-11-01,stack
KR_R002_0005_te_2.0.1,positive_annotated,0.016171865,0.0126238163,1.0,2017-04-13,2017-04-13,2017-04-13,2017-04-23,2017-04-23,2019-10-30,2019-10-30,2019-10-30,stack
KR_R002_0006_te_2.1.0,positive_annotated,0.0193167552,0.0147662682,1.0,2018-07-22,2018-07-22,2018-07-24,2018-08-01,2018-08-01,2020-05-29,2020-05-29,2020-05-29,stack
KR_R002_0007_te_2.1.0,positive_annotated,0.0436640479,0.0362257337,1.0,2015-01-23,2015-01-23,2015-06-09,2015-10-17,2015-10-17,2017-09-20,2017-09-20,2017-09-20,stack
KR_R002_0008_te_2.1.0,positive_annotated,0.1078047666,0.0785290884,1.0,2015-01-23,2015-01-23,2015-06-09,2015-11-27,2015-11-27,2017-09-20,2017-09-20,2017-09-20,stack
KR_R002_0009_te_2.0.2,positive_pending,0.0544772053,0.0544772053,1.0,2012-07-01,2014-01-01,,,2014-01-01,2015-07-31,2015-07-31,2015-07-31,stack
KR_R002_0010_te_2.1.0,positive_annotated,0.0724338586,0.059221091,1.0,2015-01-23,2015-01-23,2015-06-09,2015-10-17,2015-10-17,2018-12-12,2018-12-12,2018-12-12,stack
KR_R002_0011_te_2.0.1,negative,0.0303026605,0.0303026605,1.0,2015-10-01,2015-10-01,,,2015-10-01,2017-09-30,2017-09-30,2017-09-30,stack
KR_R002_0012_te_2.1.0,positive_annotated,0.0440120941,0.0341632175,1.0,2014-09-05,2014-09-05,2014-09-05,2015-01-23,2015-01-23,2017-01-27,2017-01-27,2017-01-27,stack
KR_R002_0013_te_2.1.0,positive_pending,0.0473927807,0.0473927807,1.0,2012-07-01,2014-01-01,,,2014-01-01,2018-01-31,2018-01-31,2018-01-31,stack
KR_R002_0014_te_2.0.1,ignore,0.0126009131,0.0126009131,1.0,2020-05-01,2020-05-01,,,2020-05-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0015_te_2.1.0,positive_annotated,0.0938960371,0.0836590468,1.0,2014-01-31,2014-01-01,2014-01-01,2014-01-01,2014-01-01,2016-06-17,2016-08-25,2016-08-25,stack
KR_R002_0016_te_2.1.1,positive_annotated,0.040171223,0.0291831006,1.0,2015-10-17,2015-10-17,2015-10-17,2016-05-08,2016-05-08,2017-12-31,2017-12-31,2017-12-31,stack
KR_R002_0017_te_2.1.1,positive_annotated,0.0242912593,0.0197379956,1.0,2016-05-08,2016-05-08,2016-05-18,2017-01-03,2017-01-03,2019-10-27,2019-10-27,2019-10-27,stack
KR_R002_0018_te_2.1.1,positive_annotated,0.0357412226,0.0282495483,1.0,2017-10-17,2017-10-17,2017-10-30,2017-11-29,2017-11-29,2020-05-29,2020-05-29,2020-05-29,stack
KR_R002_0019_te_2.1.1,positive_annotated,0.0351054607,0.0257622059,1.0,2017-11-09,2017-11-09,2017-11-14,2017-11-16,2017-11-16,2020-05-29,2020-05-29,2020-05-29,stack
KR_R002_0020_te_2.1.0,positive_partial,0.0238407022,0.0229285524,1.0,2014-01-15,2014-01-01,2014-01-01,2014-01-01,2014-01-01,2015-10-17,2017-01-03,2017-01-03,stack
KR_R002_0021_te_2.1.0,positive_annotated,0.011675857,0.0072727484,1.0,2016-05-08,2016-05-08,2016-06-17,2016-11-01,2016-11-01,2018-02-11,2018-02-11,2018-02-11,stack
KR_R002_0022_te_2.0.1,negative,0.0059929065,0.0059929065,1.0,2018-11-01,2018-11-01,,,2018-11-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0023_te_2.1.0,positive_annotated,0.0420453603,0.0350193731,1.0,2014-01-31,2014-01-31,2014-01-31,2015-01-23,2015-01-23,2017-01-27,2017-01-27,2017-01-27,stack
KR_R002_0024_te_2.1.0,positive_annotated,0.0416419447,0.0290163774,1.0,2016-05-08,2016-05-08,2016-05-12,2016-11-01,2016-11-01,2018-10-07,2018-10-07,2018-10-07,stack
KR_R002_0025_te_2.1.0,positive_annotated,0.0346301834,0.0246798123,1.0,2016-05-08,2016-05-08,2016-05-18,2017-01-27,2017-01-27,2019-09-30,2019-09-30,2019-09-30,stack
KR_R002_0027_te_2.1.0,positive_annotated,0.0160746812,0.0099355912,1.0,2015-01-23,2015-01-23,2015-06-09,2016-05-18,2016-05-18,2018-02-11,2018-02-11,2018-02-11,stack
KR_R002_0028_te_2.1.0,positive_annotated,0.0530101343,0.0430025556,1.0,2014-01-15,2014-01-01,2014-01-31,2015-01-23,2015-01-23,2016-05-18,2016-05-18,2016-05-18,stack
KR_R002_0029_te_2.0.0,positive_annotated,0.0668448947,0.0489812308,1.0,2018-01-05,2018-01-05,2018-02-23,2018-03-26,2018-03-26,2021-08-31,2021-08-31,2021-07-31,stack
KR_R002_0030_te_2.0.1,negative,0.0246587027,0.0246587027,1.0,2017-02-01,2017-02-01,,,2017-02-01,2018-10-31,2018-10-31,2018-10-31,stack
KR_R002_0031_te_2.1.0,positive_annotated,0.0430181607,0.0324156568,1.0,2017-02-12,2017-02-12,2017-06-02,2017-09-02,2017-09-02,2020-10-24,2020-10-24,2020-10-24,stack
KR_R002_0032_te_2.1.1,positive_annotated,0.0383247204,0.0264064196,1.0,2016-05-08,2016-05-08,2016-05-18,2017-01-27,2017-01-27,2018-10-07,2018-10-07,2018-10-07,stack
KR_R002_0033_te_2.1.1,positive_annotated,0.0158562294,0.0106311503,1.0,2014-01-15,2014-01-01,2014-01-31,2015-01-23,2015-01-23,2017-01-27,2017-01-27,2017-01-27,stack
KR_R002_0034_te_2.1.0,positive_annotated,0.0354329899,0.0211724528,1.0,2014-01-15,2014-01-01,2014-01-31,2015-01-23,2015-01-23,2017-01-27,2017-01-27,2017-01-27,stack
KR_R002_0035_te_2.0.2,ignore,0.0070745628,0.0070745628,1.0,2018-10-01,2018-10-01,,,2018-10-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0036_te_2.0.1,positive_excluded,0.0051315103,0.0051315103,1.0,2013-10-01,2014-01-01,,,2014-01-01,2017-03-31,2017-03-31,2017-03-31,stack
KR_R002_0037_te_2.0.1,positive_excluded,0.0015242574,0.0015242574,1.0,2013-10-01,2014-01-01,,,2014-01-01,2015-12-31,2015-12-31,2015-12-31,stack
KR_R002_0038_te_2.0.1,positive_excluded,0.0042285194,0.0042285194,1.0,2018-11-01,2018-11-01,,,2018-11-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0039_te_2.0.1,negative,0.0077600613,0.0077600613,1.0,2017-08-01,2017-08-01,,,2017-08-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0040_te_2.0.1,negative,0.0019901658,0.0019901658,1.0,2016-01-01,2016-01-01,,,2016-01-01,2016-08-31,2016-08-31,2016-08-31,stack
KR_R002_0041_te_2.0.1,positive_excluded,0.0047194787,0.0047194787,1.0,2015-01-01,2015-01-01,,,2015-01-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0042_te_2.0.1,ignore,0.0575083392,0.0575083392,1.0,2016-05-01,2016-05-01,,,2016-05-01,2020-03-31,2020-03-31,2020-03-31,stack
KR_R002_0043_te_2.0.1,negative,0.0112900835,0.0112900835,1.0,2015-01-01,2015-01-01,,,2015-01-01,2016-10-31,2016-10-31,2016-10-31,stack
KR_R002_0044_te_2.0.1,positive_excluded,0.0041980138,0.0041980138,1.0,2016-03-01,2016-03-01,,,2016-03-01,2020-03-31,2020-03-31,2020-03-31,stack
KR_R002_0053_te_2.1.0,positive_annotated,0.014873846,0.0091107736,1.0,2014-01-31,2014-01-31,2014-01-31,2015-01-23,2015-01-23,2016-05-18,2016-05-18,2016-05-18,stack
KR_R002_0054_te_2.0.1,ignore,0.0029068155,0.0029068155,1.0,2017-02-01,2017-02-01,,,2017-02-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0055_te_2.0.1,ignore,0.0028044243,0.0028044243,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0056_te_2.1.0,positive_annotated,0.0150156723,0.0080881769,1.0,2015-10-17,2015-10-17,2016-04-08,2016-05-08,2016-05-08,2017-10-17,2017-10-17,2017-10-17,stack
KR_R002_0057_te_2.0.1,positive_excluded,0.0048893202,0.0048893202,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0061_te_2.0.1,ignore,0.0021703231,0.0021703231,1.0,2015-07-01,2015-07-01,,,2015-07-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0063_te_2.1.0,positive_annotated,0.0092562196,0.0073371276,1.0,2014-01-31,2014-01-31,2014-01-31,2015-01-23,2015-01-23,2016-05-28,2017-05-03,2017-05-03,stack
KR_R002_0065_te_2.0.1,positive_excluded,0.0018740238,0.0018740238,1.0,2018-02-01,2018-02-01,,,2018-02-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0066_te_2.0.1,positive_excluded,0.0039180643,0.0039180643,1.0,2017-11-01,2017-11-01,,,2017-11-01,2018-11-30,2018-11-30,2018-11-30,stack
KR_R002_0067_te_2.0.1,positive_excluded,0.0031936095,0.0031936095,1.0,2018-02-01,2018-02-01,,,2018-02-01,2018-11-30,2018-11-30,2018-11-30,stack
KR_R002_0068_te_2.0.1,positive_excluded,0.0051959265,0.0051959265,1.0,2012-12-01,2014-01-01,,,2014-01-01,2015-07-31,2015-07-31,2015-07-31,stack
KR_R002_0069_te_2.0.1,positive_excluded,0.0051485017,0.0051485017,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0070_te_2.0.1,positive_excluded,0.0037821535,0.0037821535,1.0,2020-05-01,2020-05-01,,,2020-05-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0071_te_2.0.1,positive_excluded,0.0033408677,0.0033408677,1.0,2017-02-01,2017-02-01,,,2017-02-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0072_te_2.0.1,positive_excluded,0.0021612147,0.0021612147,1.0,2019-10-01,2019-10-01,,,2019-10-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0073_te_2.0.1,positive_excluded,0.0035997204,0.0035997204,1.0,2018-11-01,2018-11-01,,,2018-11-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0074_te_2.1.1,positive_annotated,0.0116090388,0.0064119255,1.0,2015-01-23,2015-01-23,2015-05-26,2016-04-15,2016-04-15,2017-01-27,2017-01-27,2017-01-27,stack
KR_R002_0075_te_2.0.1,positive_excluded,0.0014095488,0.0014095488,1.0,2017-10-01,2017-10-01,,,2017-10-01,2018-11-30,2018-11-30,2018-11-30,stack
KR_R002_0076_te_2.0.1,positive_excluded,0.0020309623,0.0020309623,1.0,2013-10-01,2014-01-01,,,2014-01-01,2015-07-31,2015-07-31,2015-07-31,stack
KR_R002_0077_te_2.0.1,negative,0.0177289972,0.0177289972,1.0,2013-10-01,2014-01-01,,,2014-01-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0078_te_2.0.1,ignore,0.0101931839,0.0101931839,1.0,2018-11-01,2018-11-01,,,2018-11-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0079_te_2.1.0,positive_annotated,0.0130569757,0.0080412306,1.0,2014-01-15,2014-01-01,2014-01-01,2015-01-23,2015-01-23,2016-04-08,2016-04-08,2016-04-08,stack
KR_R002_0081_te_2.0.1,positive_excluded,0.0047147873,0.0047147873,1.0,2013-10-01,2014-01-01,,,2014-01-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0082_te_2.0.4,ignore,0.0671958748,0.0671958748,1.0,2021-08-31,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2021-11-30,stack
KR_R002_0083_te_2.0.4,ignore,0.025257573,0.025257573,1.0,2021-08-31,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2021-11-30,stack
KR_R002_0084_te_2.0.1,positive_excluded,0.0020100607,0.0020100607,1.0,2017-07-01,2017-07-01,,,2017-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0085_te_2.0.1,ignore,0.0035749996,0.0035749996,1.0,2015-07-01,2015-07-01,,,2015-07-01,2018-11-30,2018-11-30,2018-11-30,stack
KR_R002_0086_te_2.0.1,negative,0.0083193711,0.0083193711,1.0,2018-11-01,2018-11-01,,,2018-11-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0087_te_2.1.0,positive_excluded,0.0068420891,0.0068420891,1.0,2018-04-01,2018-04-01,,,2018-04-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0089_te_2.0.1,ignore,0.0038658273,0.0038658273,1.0,2018-04-01,2018-04-01,,,2018-04-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0090_te_2.0.1,positive_excluded,0.0017745008,0.0017745008,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0091_te_2.0.1,positive_excluded,0.0009887115,0.0009887115,1.0,2018-07-01,2018-07-01,,,2018-07-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0092_te_2.0.1,positive_excluded,0.0055667012,0.0055667012,1.0,2018-01-01,2018-01-01,,,2018-01-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0097_te_2.0.1,positive_excluded,0.0026750431,0.0026750431,1.0,2019-10-01,2019-10-01,,,2019-10-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0098_te_2.0.1,positive_excluded,0.001882476,0.001882476,1.0,2017-11-01,2017-11-01,,,2017-11-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0100_te_2.0.1,positive_excluded,0.0014239661,0.0014239661,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0101_te_2.0.1,negative,0.0235074921,0.0235074921,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-10-31,2017-10-31,2017-10-31,stack
KR_R002_0102_te_2.0.1,positive_excluded,0.0074316184,0.0074316184,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0103_te_2.0.1,negative,0.0028589832,0.0028589832,1.0,2017-02-01,2017-02-01,,,2017-02-01,2017-11-30,2017-11-30,2017-11-30,stack
KR_R002_0104_te_2.0.1,negative,0.0099259503,0.0099259503,1.0,2013-10-01,2014-01-01,,,2014-01-01,2015-07-31,2015-07-31,2015-07-31,stack
KR_R002_0105_te_2.0.1,ignore,0.0032435255,0.0032435255,1.0,2019-10-01,2019-10-01,,,2019-10-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0106_te_2.0.1,positive_excluded,0.0051163617,0.0051163617,1.0,2013-10-01,2014-01-01,,,2014-01-01,2017-02-28,2017-02-28,2017-02-28,stack
KR_R002_0107_te_2.0.1,positive_excluded,0.0023980715,0.0023980715,1.0,2019-10-01,2019-10-01,,,2019-10-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0108_te_2.0.1,positive_excluded,0.005290127,0.005290127,1.0,2015-07-01,2015-07-01,,,2015-07-01,2018-02-28,2018-02-28,2018-02-28,stack
KR_R002_0118_te_2.0.1,negative,0.0163483709,0.0163483709,1.0,2018-11-01,2018-11-01,,,2018-11-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0119_te_2.0.1,negative,0.0101408871,0.0101408871,1.0,2018-04-01,2018-04-01,,,2018-04-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0120_te_2.0.1,negative,0.0156582237,0.0156582237,1.0,2020-05-01,2020-05-01,,,2020-05-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0121_te_2.0.1,negative,0.0353809879,0.0353809879,1.0,2018-07-01,2018-07-01,,,2018-07-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0122_te_2.0.2,ignore,0.0547670828,0.0547670828,1.0,2018-07-31,2014-01-01,,,2014-01-01,2018-07-31,2018-07-31,2018-07-31,stack
KR_R002_0123_te_2.0.1,positive_excluded,0.0035442019,0.0035442019,1.0,2019-10-01,2019-10-01,,,2019-10-01,2020-10-31,2020-10-31,2020-10-31,stack
