precision,recall (PD),f_0.33,f_0.5,f_1,f_2,f_3,tau,rho,min proposal area,min proposal confidence score,temporal iop,temporal iot,transient temporal iop,transient temporal iot,min spatial distance threshold,central spatial distance threshold,max spatial distance threshold,min temporal distance threshold,central temporal distance threshold,max temporal distance threshold,region
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.05,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.2,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.3,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.1,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.05,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.3,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.2,0.2,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.1,0.3,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.1,0.0,0.0,0.1,0.05,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.05,0.3,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.05,0.1,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.05,0.05,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.1,0.1,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.1,0.05,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.1,0.3,0.1,0.2,100,,,,,,KR_R002
0.88,0.8148,0.873,0.8661,0.8462,0.8271,0.8209,0.2,0.5,0.0,0.0,0.2,0.05,0.1,0.2,100,,,,,,KR_R002
