,Site Preparation,Active Construction,Post Construction
worst mean days (all detections),-449.8,-37.7,-14.5
worst std days (all),312.3,294.9,374.1
worst mean days (absolute value of all detections),488.8,248.2,315.4
worst std days (abs val of all),246.7,163.6,201.6
mean days (all detections),-469.3,-105.4,-98.7
std days (all),273.1,239.7,291.2
mean days (absolute value of all detections),469.3,182.4,231.2
std days (abs val of all),273.1,187.8,202.7
best mean days (all detections),-328.2,-30.3,-13.1
best std days (all),267.3,177.3,205.6
best mean days (absolute value of all detections),328.2,107.3,145.7
best std days (abs val of all),267.3,144.3,145.7
mean days (early detections),-508.4,-274.7,-314.9
std days (early),246.8,203.8,206.4
mean days (late detections),,115.6,139.2
std days (late),,91.6,152.5
all detections,13.0,21.0,21.0
early,12.0,11.0,11.0
late,0.0,7.0,10.0
perfect,1.0,3.0,0.0
missing proposals,3.0,0.0,0.0
missing truth sites,6.0,1.0,1.0
