,Site Preparation,Active Construction,Post Construction
site truth KR_R002_0000_te_2.0.0 vs. site model KR_R002_7019_test_2.0.0_KR_R002_7020_test_2.0.0,0.0,0.0,0.0
site truth KR_R002_0001_te_2.0.0 vs. site model KR_R002_7012_test_2.0.0_KR_R002_7024_test_2.0.0,0.0,0.0,0.0
site truth KR_R002_0002_te_2.0.0 vs. site model KR_R002_7013_test_2.0.0,0.0,0.4331275720164609,0.0
site truth KR_R002_0003_te_2.0.0 vs. site model KR_R002_7014_test_2.0.0,0.06108597285067873,0.5787831513260531,0.0
site truth KR_R002_0005_te_2.0.1 vs. site model KR_R002_7018_test_2.0.0,0.038461538461538464,0.0,0.0
site truth KR_R002_0006_te_2.1.0 vs. site model KR_R002_7001_test_2.0.0,0.033271719038817,0.3656716417910448,0.0
site truth KR_R002_0007_te_2.1.0 vs. site model KR_R002_7004_test_2.0.0,0.0,0.31995884773662553,0.0
site truth KR_R002_0008_te_2.1.0 vs. site model KR_R002_7004_test_2.0.0,,0.4567901234567901,0.0
site truth KR_R002_0010_te_2.1.0 vs. site model KR_R002_7000_test_2.0.0,0.0,0.3825214899713467,0.0
site truth KR_R002_0012_te_2.1.0 vs. site model KR_R002_7005_test_2.0.0,,0.4897119341563786,0.0
site truth KR_R002_0016_te_2.1.1 vs. site model KR_R002_7017_test_2.0.0,0.0,0.3173537871524449,0.0
site truth KR_R002_0017_te_2.1.1 vs. site model KR_R002_7023_test_2.0.0,0.0,0.28820960698689957,0.0
site truth KR_R002_0018_te_2.1.1 vs. site model KR_R002_7022_test_2.0.0,0.26914660831509846,0.9556451612903226,0.0
site truth KR_R002_0019_te_2.1.1 vs. site model KR_R002_7021_test_2.0.0,0.2358490566037736,0.7690941385435168,0.0
site truth KR_R002_0023_te_2.1.0 vs. site model KR_R002_7008_test_2.0.0,0.0,0.4266826923076923,0.0
site truth KR_R002_0024_te_2.1.0 vs. site model KR_R002_7006_test_2.0.0,0.0,0.40625,0.0
site truth KR_R002_0025_te_2.1.0 vs. site model KR_R002_7007_test_2.0.0,0.02702702702702703,0.06091370558375635,0.0
site truth KR_R002_0027_te_2.1.0 vs. site model KR_R002_7016_test_2.0.0,0.0,0.49952061361457334,0.0
site truth KR_R002_0028_te_2.1.0 vs. site model KR_R002_7004_test_2.0.0,,0.2757201646090535,0.0
site truth KR_R002_0031_te_2.1.0 vs. site model KR_R002_7002_test_2.0.0,0.28537735849056606,0.5947488584474886,0.0
site truth KR_R002_0032_te_2.1.1 vs. site model KR_R002_7003_test_2.0.0,0.001358695652173913,0.5151515151515151,0.0
site truth KR_R002_0034_te_2.1.0 vs. site model KR_R002_7009_test_2.0.0,,0.6684782608695652,0.0
