id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation,model type
KR_R002_7000_test_2.0.0,system_confirmed,0.1048724523,0.1048724523,0.69,2015-01-23,2015-01-23,,,2015-01-23,2017-10-25,2017-10-25,2021-05-19,stack
KR_R002_7001_test_2.0.0,system_confirmed,0.0123064522,0.0123064522,0.62,2015-01-23,2017-01-29,,,2017-01-29,2020-06-08,2020-06-08,2021-05-19,stack
KR_R002_7002_test_2.0.0,system_confirmed,0.0301320283,0.0301320283,0.68,2015-01-23,2016-10-20,,,2016-10-20,2019-10-30,2019-10-30,2021-05-19,stack
KR_R002_7003_test_2.0.0,system_confirmed,0.0239904609,0.0239904609,0.67,2015-01-23,2015-01-23,,,2015-01-23,2018-02-23,2018-02-23,2021-05-19,stack
KR_R002_7004_test_2.0.0,system_confirmed,0.1418166176,0.1418166176,0.67,2015-01-23,2015-01-23,,,2015-01-23,2017-10-20,2017-10-20,2021-05-19,stack
KR_R002_7005_test_2.0.0,system_confirmed,0.030959527,0.030959527,0.59,2015-01-23,2015-01-23,,,2015-01-23,2017-10-20,2017-10-20,2021-05-19,stack
KR_R002_7006_test_2.0.0,system_confirmed,0.0331358654,0.0331358654,0.71,2015-01-23,2015-01-23,,,2015-01-23,2017-10-20,2017-10-20,2021-05-19,stack
KR_R002_7007_test_2.0.0,system_confirmed,0.0287783177,0.0287783177,0.65,2015-01-23,2016-01-28,,,2016-01-28,2017-11-16,2017-11-16,2021-05-19,stack
KR_R002_7008_test_2.0.0,system_confirmed,0.0343267551,0.0343267551,0.65,2015-01-23,2015-01-23,,,2015-01-23,2017-09-20,2017-09-20,2021-05-19,stack
KR_R002_7009_test_2.0.0,system_confirmed,0.0185976198,0.0185976198,0.56,2015-01-23,2015-01-23,,,2015-01-23,2017-05-03,2017-05-03,2021-05-19,stack
KR_R002_7010_test_2.0.0,system_confirmed,0.0104263653,0.0104263653,0.42,2014-02-25,2014-02-25,,,2014-02-25,2021-05-19,2021-05-19,2021-05-19,stack
KR_R002_7011_test_2.0.0,system_confirmed,0.0187916952,0.0187916952,0.47,2014-02-25,2015-11-30,,,2015-11-30,2019-09-30,2019-09-30,2021-05-19,stack
KR_R002_7012_test_2.0.0,system_confirmed,0.1625044526,0.1625044526,0.69,2014-02-03,2014-02-03,,,2014-02-03,2018-01-29,2018-01-29,2021-05-19,stack
KR_R002_7013_test_2.0.0,system_confirmed,0.0092782249,0.0092782249,0.6,2014-02-03,2014-02-03,,,2014-02-03,2017-10-20,2017-10-20,2021-05-19,stack
KR_R002_7014_test_2.0.0,system_confirmed,0.016927603,0.016927603,0.65,2014-02-03,2014-02-03,,,2014-02-03,2019-04-20,2019-04-20,2021-05-19,stack
KR_R002_7015_test_2.0.0,system_confirmed,0.007527747,0.007527747,0.51,2014-02-03,2019-06-09,,,2019-06-09,2021-02-18,2021-02-18,2021-05-19,stack
KR_R002_7016_test_2.0.0,system_confirmed,0.006314165,0.006314165,0.52,2014-02-03,2014-02-03,,,2014-02-03,2017-11-16,2017-11-16,2021-05-19,stack
KR_R002_7017_test_2.0.0,system_confirmed,0.0336875835,0.0336875835,0.61,2014-02-03,2014-02-03,,,2014-02-03,2017-11-16,2017-11-16,2021-05-19,stack
KR_R002_7018_test_2.0.0,system_confirmed,0.0079389611,0.0079389611,0.56,2014-02-03,2016-01-28,,,2016-01-28,2018-01-29,2018-01-29,2021-05-19,stack
KR_R002_7019_test_2.0.0,system_confirmed,0.0360205774,0.0360205774,0.62,2014-02-03,2014-02-03,,,2014-02-03,2017-05-03,2017-05-03,2021-05-19,stack
KR_R002_7020_test_2.0.0,system_confirmed,0.1252767175,0.1252767175,0.65,2014-02-03,2014-02-03,,,2014-02-03,2017-05-03,2017-05-03,2021-05-19,stack
KR_R002_7021_test_2.0.0,system_confirmed,0.0331512053,0.0331512053,0.66,2014-02-03,2016-11-30,,,2016-11-30,2019-09-30,2019-09-30,2021-05-19,stack
KR_R002_7022_test_2.0.0,system_confirmed,0.0292553071,0.0292553071,0.67,2014-02-03,2016-11-30,,,2016-11-30,2019-12-16,2019-12-16,2021-05-19,stack
KR_R002_7023_test_2.0.0,system_confirmed,0.0167665935,0.0167665935,0.63,2014-02-03,2016-01-28,,,2016-01-28,2017-11-30,2017-11-30,2021-05-19,stack
KR_R002_7024_test_2.0.0,system_confirmed,0.0214096994,0.0214096994,0.6,2014-02-03,2014-02-03,,,2014-02-03,2017-11-30,2017-11-30,2021-05-19,stack
