id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation
KR_R002_7000_test_2.0.0,system_confirmed,0.10487245234145777,0.10487245234145774,0.69,2015-01-23,2015-01-23,,,2015-01-23,2017-10-25,2017-10-25,2021-05-19
KR_R002_7001_test_2.0.0,system_confirmed,0.012306452193828277,0.012306452193828277,0.62,2015-01-23,2017-01-29,,,2017-01-29,2020-06-08,2020-06-08,2021-05-19
KR_R002_7002_test_2.0.0,system_confirmed,0.03013202828661334,0.03013202828661334,0.68,2015-01-23,2016-10-20,,,2016-10-20,2019-10-30,2019-10-30,2021-05-19
KR_R002_7003_test_2.0.0,system_confirmed,0.023990460934739288,0.023990460934739288,0.67,2015-01-23,2015-01-23,,,2015-01-23,2018-02-23,2018-02-23,2021-05-19
KR_R002_7004_test_2.0.0,system_confirmed,0.14181661763929598,0.14181661763929598,0.67,2015-01-23,2015-01-23,,,2015-01-23,2017-10-20,2017-10-20,2021-05-19
KR_R002_7005_test_2.0.0,system_confirmed,0.03095952703047964,0.030959527030479637,0.59,2015-01-23,2015-01-23,,,2015-01-23,2017-10-20,2017-10-20,2021-05-19
KR_R002_7006_test_2.0.0,system_confirmed,0.033135865415347306,0.033135865415347306,0.71,2015-01-23,2015-01-23,,,2015-01-23,2017-10-20,2017-10-20,2021-05-19
KR_R002_7007_test_2.0.0,system_confirmed,0.028778317674407437,0.028778317674407437,0.65,2015-01-23,2016-01-28,,,2016-01-28,2017-11-16,2017-11-16,2021-05-19
KR_R002_7008_test_2.0.0,system_confirmed,0.034326755075101766,0.034326755075101766,0.65,2015-01-23,2015-01-23,,,2015-01-23,2017-09-20,2017-09-20,2021-05-19
KR_R002_7009_test_2.0.0,system_confirmed,0.01859761975439487,0.018597619754394865,0.56,2015-01-23,2015-01-23,,,2015-01-23,2017-05-03,2017-05-03,2021-05-19
KR_R002_7010_test_2.0.0,system_confirmed,0.010426365307665005,0.010426365307665003,0.42,2014-02-25,2014-02-25,,,2014-02-25,2021-05-19,2021-05-19,2021-05-19
KR_R002_7011_test_2.0.0,system_confirmed,0.018791695184671903,0.018791695184671903,0.47,2014-02-25,2015-11-30,,,2015-11-30,2019-09-30,2019-09-30,2021-05-19
KR_R002_7012_test_2.0.0,system_confirmed,0.16250445264573357,0.1625044526457336,0.69,2014-02-03,2014-02-03,,,2014-02-03,2018-01-29,2018-01-29,2021-05-19
KR_R002_7013_test_2.0.0,system_confirmed,0.00927822493208942,0.00927822493208942,0.6,2014-02-03,2014-02-03,,,2014-02-03,2017-10-20,2017-10-20,2021-05-19
KR_R002_7014_test_2.0.0,system_confirmed,0.01692760297387699,0.01692760297387699,0.65,2014-02-03,2014-02-03,,,2014-02-03,2019-04-20,2019-04-20,2021-05-19
KR_R002_7015_test_2.0.0,system_confirmed,0.007527746972896665,0.007527746972896665,0.51,2014-02-03,2019-06-09,,,2019-06-09,2021-02-18,2021-02-18,2021-05-19
KR_R002_7016_test_2.0.0,system_confirmed,0.0063141649893951905,0.0063141649893951905,0.52,2014-02-03,2014-02-03,,,2014-02-03,2017-11-16,2017-11-16,2021-05-19
KR_R002_7017_test_2.0.0,system_confirmed,0.033687583543539366,0.03368758354353936,0.61,2014-02-03,2014-02-03,,,2014-02-03,2017-11-16,2017-11-16,2021-05-19
KR_R002_7018_test_2.0.0,system_confirmed,0.007938961097102163,0.007938961097102163,0.56,2014-02-03,2016-01-28,,,2016-01-28,2018-01-29,2018-01-29,2021-05-19
KR_R002_7019_test_2.0.0,system_confirmed,0.03602057741037786,0.036020577410377855,0.62,2014-02-03,2014-02-03,,,2014-02-03,2017-05-03,2017-05-03,2021-05-19
KR_R002_7020_test_2.0.0,system_confirmed,0.1252767174742436,0.12527671747424363,0.65,2014-02-03,2014-02-03,,,2014-02-03,2017-05-03,2017-05-03,2021-05-19
KR_R002_7021_test_2.0.0,system_confirmed,0.03315120526188797,0.03315120526188797,0.66,2014-02-03,2016-11-30,,,2016-11-30,2019-09-30,2019-09-30,2021-05-19
KR_R002_7022_test_2.0.0,system_confirmed,0.029255307096356167,0.029255307096356174,0.67,2014-02-03,2016-11-30,,,2016-11-30,2019-12-16,2019-12-16,2021-05-19
KR_R002_7023_test_2.0.0,system_confirmed,0.016766593519206476,0.016766593519206476,0.63,2014-02-03,2016-01-28,,,2016-01-28,2017-11-30,2017-11-30,2021-05-19
KR_R002_7024_test_2.0.0,system_confirmed,0.021409699353282352,0.021409699353282356,0.6,2014-02-03,2014-02-03,,,2014-02-03,2017-11-30,2017-11-30,2021-05-19
